title,desc,cost,category,photo
"Сварочный аппарат инверторный","Профессиональный сварочный аппарат для MMA сварки",25000.00,1,"https://example.com/welder1.jpg"
"Электроды АНО-21","Электроды для сварки низкоуглеродистых сталей",1500.50,2,"https://example.com/electrodes.jpg"
"Маска сварщика хамелеон","Автоматическая маска с затемнением",3500.00,3,"https://example.com/mask.jpg"
"Перчатки сварщика","Кожаные перчатки для защиты рук",800.00,3,"https://example.com/gloves.jpg"
"Проволока сварочная","Проволока для полуавтоматической сварки",2200.00,2,"https://example.com/wire.jpg"





